month,L Income,L 2025,L 2030,L 2035,L 2040,L 2045,L 2050,L 2055,L 2060,L 2065,G Fund,F Fund,U.S. Aggregate Index,C Fund,S&P 500,S Fund,DJ TSM,I Fund,EAFE
December 2011,0.20,,0.09,,0.07,,-0.01,,,,0.15,1.01,1.10,1.04,1.02,-0.04,-0.05,-2.03,-0.95
November 2011,0.02,,-0.49,,-0.62,,-0.78,,,,0.14,0.01,-0.09,-0.21,-0.22,-0.51,-0.57,-2.46,-4.85
October 2011,2.31,,7.68,,8.83,,9.92,,,,0.14,0.11,0.11,10.93,10.93,14.09,14.00,9.48,9.64
September 2011,-1.51,,-5.92,,-6.85,,-7.80,,,,0.16,0.73,0.73,-7.03,-7.03,-10.73,-10.79,-10.55,-9.53
August 2011,-1.10,,-4.63,,-5.37,,-6.16,,,,0.19,1.45,1.46,-5.44,-5.43,-8.12,-8.17,-9.03,-9.03
July 2011,-0.14,,-1.25,,-1.49,,-1.75,,,,0.22,1.59,1.59,-2.04,-2.03,-3.14,-3.23,-1.60,-1.59
June 2011,-0.18,,-1.10,,-1.30,,-1.48,,,,0.21,-0.30,-0.29,-1.67,-1.67,-2.35,-2.33,-1.16,-1.25
May 2011,-0.05,,-0.97,,-1.15,,-1.39,,,,0.25,1.31,1.31,-1.13,-1.13,-1.27,-1.27,-2.90,-2.95
April 2011,1.01,,2.83,,3.20,,3.57,,,,0.25,1.28,1.27,2.96,2.96,2.94,2.99,6.03,5.98
March 2011,0.17,,-0.05,,-0.08,,-0.15,,,,0.26,0.06,0.06,0.04,0.04,2.06,2.02,-2.23,-2.24
February 2011,0.90,,2.60,,2.95,,3.28,,,,0.22,0.26,0.25,3.42,3.43,4.52,4.44,3.33,3.30
January 2011,0.63,,1.57,,1.75,,,,,,0.24,0.13,0.12,2.37,2.37,1.23,1.28,2.41,2.36
December 2010,1.49,,4.96,,5.67,,,,,,0.20,-1.05,-1.08,6.68,6.68,7.38,7.34,8.12,8.10
November 2010,-0.05,,-0.56,,-0.64,,,,,,0.17,-0.57,-0.57,0.01,0.01,3.00,2.98,-4.84,-4.81
October 2010,0.92,,2.78,,3.16,,,,,,0.18,0.36,0.36,3.80,3.80,4.48,4.48,3.63,3.61
September 2010,2.00,,6.77,,7.76,,,,,,0.17,0.17,0.11,8.92,8.92,11.47,11.38,9.81,9.80
August 2010,-0.63,,-2.88,,-3.33,,,,,,0.22,1.28,1.29,-4.51,-4.51,-5.59,-5.56,-3.14,-3.10
July 2010,1.81,,5.80,,6.60,,,,,,0.23,1.07,1.07,7.01,7.01,7.00,6.92,10.78,9.48
June 2010,-0.61,,-2.98,,-3.47,,,,,,0.24,1.56,1.57,-5.24,-5.23,-6.90,-6.93,-1.75,-1.00
May 2010,-1.50,,-6.07,,-6.97,,,,,,0.28,0.85,0.84,-7.99,-7.99,-7.51,-7.52,-11.20,-11.51
April 2010,0.50,,0.94,,1.05,,,,,,0.28,1.07,1.04,1.58,1.58,4.82,4.76,-2.35,-1.81
March 2010,1.43,,4.52,,5.15,,,,,,0.27,-0.11,-0.12,6.04,6.03,7.39,7.33,6.28,6.24
February 2010,0.74,,1.94,,2.18,,,,,,0.24,0.38,0.37,3.11,3.10,4.89,4.83,0.06,-0.69
January 2010,-0.45,,-2.49,,-2.88,,,,,,0.29,1.54,1.53,-3.60,-3.60,-2.43,-2.39,-5.17,-4.41
December 2009,0.59,,1.85,,2.12,,,,,,0.25,-1.55,-1.56,1.94,1.93,6.57,6.65,1.43,1.44
November 2009,1.27,,3.55,,3.98,,,,,,0.26,1.30,1.29,6.00,6.00,3.85,3.98,3.16,2.00
October 2009,-0.26,,-1.81,,-2.15,,,,,,0.26,0.51,0.49,-1.86,-1.86,-5.51,-5.41,-2.41,-1.25
September 2009,1.08,,3.14,,3.56,,,,,,0.26,1.07,1.05,3.74,3.73,5.94,5.81,3.79,3.83
August 2009,1.07,,3.02,,3.41,,,,,,0.28,1.03,1.04,3.62,3.61,3.85,3.74,4.87,5.44
July 2009,1.94,,6.16,,7.01,,,,,,0.28,1.59,1.61,7.58,7.56,8.66,9.01,9.74,9.13
June 2009,0.26,,0.12,,0.09,,,,,,0.27,0.54,0.57,0.24,0.20,0.73,0.84,-1.08,-0.57
May 2009,1.70,,5.45,,6.19,,,,,,0.25,0.78,0.73,5.60,5.59,3.97,4.15,13.41,11.83
April 2009,2.37,,8.20,,9.38,,,,,,0.21,0.49,0.48,9.58,9.57,15.00,14.99,12.13,12.80
March 2009,2.06,,6.30,,7.08,,,,,,0.24,1.38,1.39,8.81,8.76,8.64,8.62,7.20,6.34
February 2009,-1.98,,-7.47,,-8.52,,,,,,0.21,-0.39,-0.38,-10.64,-10.65,-10.22,-9.78,-10.23,-10.26
January 2009,-1.74,,-6.69,,-7.67,,,,,,0.19,-0.86,-0.88,-8.41,-8.43,-8.19,-7.47,-11.93,-9.81
December 2008,1.21,,3.24,,3.63,,,,,,0.24,3.73,3.73,1.07,1.06,4.68,4.53,7.66,6.01
November 2008,-0.84,,-4.96,,-5.85,,,,,,0.31,3.30,3.25,-7.18,-7.18,-11.13,-11.39,-6.72,-5.41
October 2008,-3.44,,-13.40,,-15.40,,,,,,0.31,-2.40,-2.36,-16.83,-16.79,-20.99,-20.63,-20.59,-20.18
September 2008,-1.75,,-7.24,,-8.35,,,,,,0.31,-1.31,-1.34,-8.94,-8.91,-10.32,-10.87,-12.31,-14.46
August 2008,0.35,,0.17,,0.11,,,,,,0.33,0.92,0.95,1.46,1.45,2.17,1.95,-4.16,-4.05
July 2008,0.00,,-1.07,,-1.31,,,,,,0.40,-0.01,-0.08,-0.80,-0.84,-0.79,-0.94,-3.72,-3.21
June 2008,-1.47,,-5.88,,-6.70,,,,,,0.32,-0.08,-0.08,-8.41,-8.43,-7.63,-7.50,-8.15,-8.18
May 2008,0.59,,1.48,,1.65,,,,,,0.32,-0.74,-0.73,1.27,1.30,4.88,4.76,1.09,0.97
April 2008,1.20,,3.74,,4.26,,,,,,0.24,-0.16,-0.21,4.94,4.87,5.30,5.45,5.55,5.43
March 2008,0.23,,-0.18,,-0.29,,,,,,0.32,0.33,0.34,-0.46,-0.43,-1.43,-1.77,0.18,-1.05
February 2008,-0.22,,-1.51,,-1.80,,,,,,0.24,0.16,0.14,-3.28,-3.25,-2.05,-2.16,-0.66,1.43
January 2008,-0.97,,-4.71,,-5.37,,,,,,0.33,1.76,1.68,-5.98,-6.00,-6.27,-6.17,-8.52,-9.24
December 2007,0.07,,-0.63,,-0.82,,,,,,0.41,0.25,0.28,-0.66,-0.69,-0.40,-0.48,-2.25,-2.25
November 2007,-0.44,,-2.94,,-3.36,,,,,,0.33,1.88,1.80,-4.20,-4.18,-5.65,-5.61,-3.72,-3.29
October 2007,0.82,,2.09,,2.37,,,,,,0.41,0.86,0.90,1.58,1.59,2.83,2.96,4.49,3.93
September 2007,1.13,,3.09,,3.45,,,,,,0.41,0.78,0.76,3.76,3.74,2.97,3.03,5.36,5.35
August 2007,0.61,,0.88,,0.90,,,,,,0.33,1.23,1.23,1.54,1.50,1.38,1.01,-0.71,-1.56
July 2007,-0.23,,-2.13,,-2.52,,,,,,0.50,0.80,0.83,-3.10,-3.10,-4.57,-4.49,-2.39,-1.47
June 2007,0.08,,-0.80,,-0.92,,,,,,0.42,-0.27,-0.30,-1.70,-1.66,-1.53,-1.47,0.20,0.12
May 2007,0.92,,2.52,,2.79,,,,,,0.34,-0.70,-0.76,3.52,3.49,4.40,4.30,2.54,1.75
April 2007,1.08,,2.95,,3.28,,,,,,0.42,0.53,0.54,4.43,4.43,2.51,2.48,3.76,4.44
March 2007,0.62,,1.16,,1.34,,,,,,0.42,0.00,0.00,1.09,1.12,1.09,1.08,2.57,2.55
February 2007,0.16,,-0.49,,-0.64,,,,,,0.34,1.53,1.54,-1.95,-1.96,-0.26,-0.25,0.18,0.81
January 2007,0.63,,1.42,,1.53,,,,,,0.43,0.00,-0.04,1.53,1.51,3.14,3.23,1.31,0.68
December 2006,0.63,,1.18,,1.31,,,,,,0.34,-0.54,-0.58,1.42,1.40,0.11,0.25,3.11,3.14
November 2006,0.79,,2.03,,2.32,,,,,,0.43,1.08,1.16,1.91,1.90,3.54,3.62,2.96,2.99
